emoji,Meaning
💪🏼,عضلة الذراع لون البشرة المتوسطة الفاتحة
💪🏽,عضلة الذراع لون البشرة المتوسطة
💾,قرص مرن
🎴,بطاقات لعب
😳,وجه متورد
🛸,صحن طائر
🌫,ضباب
🌁,ضبابي
🙏,يدان مضمومتان
🙏🏿,يدان مضمومتان لون البشرة الداكنة
🙏🏻,يدان مضمومتان لون البشرة الفاتحة
🙏🏾,يدان مضمومتان لون البشرة المتوسطة الداكنة
🙏🏼,يدان مضمومتان لون البشرة المتوسطة الفاتحة
🙏🏽,يدان مضمومتان لون البشرة المتوسطة
👣,اثر قدمين
🍴,شوكة وسكينة
🍽,طبق وشوكة وسكينة
🥠,كعكة الحظ
⛲,نافورة
🖋,قلم حبر
🕟,الساعة الرابعة والنصف
🍀,ورقة برسيم رباعية
🕓,الساعة الرابعة
🦊,وجه ثعلب
🖼,إطار وصورة
🍟,بطاطس مقلية
🍤,جمبري مقلي
🐸,وجه ضفدع
🐥,كتكوت صغير بوجه للأمام
☹,وجه مقطب
😦,وجه عابس بفم مفتوح
⛽,مضخه وقود
🌕,بدر
🌝,وجه البدر
⚱,جرة
🎲,زهر
⚙,ترس
💎,جوهرة
🧞,مارد سحري
👻,شبح
🦒,زرافة
👧,فتاة
👧🏿,فتاة لون البشرة الداكنة
👧🏻,فتاة لون البشرة الفاتحة
👧🏾,فتاة لون البشرة المتوسطة الداكنة
👧🏼,فتاة لون البشرة المتوسطة الفاتحة
👧🏽,فتاة لون البشرة المتوسطة
🥛,كوب حليب
👓,نظارة طبية
🌎,كرة أرضية تعرض الأمريكتين
🌏,كرة أرضية تعرض آسيا وأستراليا
🌍,كرة أرضية تعرض أوروبا وإفريقيا
🌐,كرة أرضية بخطوط طول
🧤,قفازان
🌟,نجم ساطع
🥅,شبكة المرمى
🐐,ماعز
👺,عفريت
🦍,غوريلا
🎓,قبعة تخرج
🍇,عنب
🍏,تفاح أخضر
📗,كتاب أخضر
💚,قلب أخضر
🥗,سلطة خضراء
😬,وجه متجهم
😺,وجه قطة مبتسم بفم مفتوح
😸,وجه قطة مبتسم بعينين باسمتين
😀,وجه بابتسامة عريضة
😃,وجه مبتسم بعينين كبيرتين
😄,وجه مبتسم بعينين باسمتين
😅,وجه مبتسم ومحرج
😆,وجه مبتسم بعينين مغلقتين
💗,قلب ينمو
💂,حارس
💂🏿,حارس لون البشرة الداكنة
💂🏻,حارس لون البشرة الفاتحة
💂🏾,حارس لون البشرة المتوسطة الداكنة
💂🏼,حارس لون البشرة المتوسطة الفاتحة
💂🏽,حارس لون البشرة المتوسطة
🎸,غيتار
🍔,همبرغر
🔨,مطرقة
⚒,مطرقة ومثقاب
🛠,شاكوش ومفتاح
🐹,وجه حيوان الهمستر
🖐,يد مرفوعة بأصابع متفرقة
🖐🏿,يد مرفوعة بأصابع متفرقة لون البشرة الداكنة
🖐🏻,يد مرفوعة بأصابع متفرقة لون البشرة الفاتحة
🖐🏾,يد مرفوعة بأصابع متفرقة لون البشرة المتوسطة الداكنة
🖐🏼,يد مرفوعة بأصابع متفرقة لون البشرة المتوسطة الفاتحة
🖐🏽,يد مرفوعة بأصابع متفرقة لون البشرة المتوسطة
👜,شنطة يد
🤝,مصافحة
🐣,كتكوت خارج البيضة
🎧,سماعة رأس
🙉,قرد يحجب أذنيه
💟,زخرفة قلب
♥,ورقة قلب
💘,قلب وسهم
💝,قلب عليه شريط
✔,علامة صح
➗,علامة قسمة
💲,علامة دولار
❣,قلب على شكل علامة تعجب
⭕,دائرة كبيرة سميكة
➖,علامة طرح
✖,علامة ضرب سميكة
➕,علامة جمع
🦔,قنفذ
🚁,هليكوبتر
🌿,عشب
🌺,كركديه
👠,حذاء بكعب عال
🚄,قطار سريع
⚡,جهد كهربي عال
🕳,ثقب
🍯,جرة عسل
🐝,نحلة
🚥,إشارة مرور أفقية
🐴,وجه حصان
🏇,سباق خيول
🏇🏿,سباق خيول لون البشرة الداكنة
🏇🏻,سباق خيول لون البشرة الفاتحة
🏇🏾,سباق خيول لون البشرة المتوسطة الداكنة
🏇🏼,سباق خيول لون البشرة المتوسطة الفاتحة
🏇🏽,سباق خيول لون البشرة المتوسطة
🏥,مستشفى
☕,مشروب ساخن
🌭,شطيرة نقانق
🌶,فلفل حار
♨,ينابيع ساخنة
🏨,فندق
⌛,مؤقت رملي غير مكتمل
⏳,مؤقت رملي غير مكتمل
🏠,منزل
🏡,منزل بحديقة
🏘,منازل
🤗,وجه يعانق بابتسامة
💯,مئة درجة
😯,وجه مخفوت الصوت مندهش
🍨,بوظة
🏒,عصا هوكي جليد
⛸,حذاء تزلج
📥,صندوق وارد
📨,بريد وارد
☝,سبابة يشير لأعلى
☝🏿,سبابة يشير لأعلى لون البشرة الداكنة
☝🏻,سبابة يشير لأعلى لون البشرة الفاتحة
☝🏾,سبابة يشير لأعلى لون البشرة المتوسطة الداكنة
☝🏼,سبابة يشير لأعلى لون البشرة المتوسطة الفاتحة
☝🏽,سبابة يشير لأعلى لون البشرة المتوسطة
ℹ,مصدر معلومات
🔤,أبجدية لاتينية
🔡,أحرف صغيرة
🔠,أحرف كبيرة
🔢,أرقام
🔣,رموز
🎃,يقطين الهالوين
👖,بنطلون جينز
🃏,جوكر
🕹,ذراع تحكم
🕋,الكعبة
🔑,مفتاح
⌨,لوحة مفاتيح
#️⃣,هاشتاغ
*️⃣,نجمة
0️⃣,صفر
1️⃣,واحد
🔟,عشرة
2️⃣,اثنان
3️⃣,ثلاثة
4️⃣,اربعة
5️⃣,خمسة
6️⃣,ستة
7️⃣,سبعة
8️⃣,ثمانية
9️⃣,تسعة
🛴,سكوتر بدون محرك
👘,كيمونو ياباني
💋,علامة قبلة
👨‍❤️‍💋‍👨,قبلة رجل ورجل
👩‍❤️‍💋‍👨,قبلة سيدة ورجل
👩‍❤️‍💋‍👩,قبلة سيدة وسيدة
😽,وجه قطة تقبل
😗,وجه يقبل
😚,وجه يقبل بعينين مغلقتين
😙,وجه يقبل بعينين باسمتين
🔪,سكين طهي
🥝,كيوي
🐨,دب كوالا
🏷,ملصق
🐞,دعسوقة
💻,حاسوب محمول
🔷,ماسة زرقاء كبيرة
🔶,ماسة برتقالي كبيرة
🌗,تربيع ثان
🌜,وجه تربيع ثان
⏮,زر آخر المقطع
✝,الصليب
🍃,ورقة متطايرة
📒,دفتر
🤛,قبضة لليسار
🤛🏿,قبضة لليسار لون البشرة الداكنة
🤛🏻,قبضة لليسار لون البشرة الفاتحة
🤛🏾,قبضة لليسار لون البشرة المتوسطة الداكنة
🤛🏼,قبضة لليسار لون البشرة المتوسطة الفاتحة
🤛🏽,قبضة لليسار لون البشرة المتوسطة
↔,سهم لليسار واليمين
⬅,سهم لليسار
↪,سهم أيسر بانحناء أيمن
🛅,أمتعة
🗨,فقاعة كلام يسرى
🍋,ليمون
🐆,فهد
🎚,شريط منزلق
💡,مصباح مضاء
🚈,نقل خفيف
🔗,علامة رابط
🖇,مشبك ورق مقترن
🦁,وجه أسد
💄,أحمر الشفاه
🚮,إشارة صندوق النفايات
🦎,سحلية
🔒,قفل
🔐,قفل مغلق بمفتاح
🔏,قفل مغلق بقلم
🚂,قاطرة بخارية
🍭,مصاصة
😭,وجه يبكي بصوت عالٍ
📢,مكبر الصوت
🤟,علامة أحبك 
🤟🏿,علامة أحبك لون البشرة الداكن
🤟🏻,علامة أحبك لون بشرة فاتح
🤟🏾,علامة أحبك لون بشرة متوسط داكن
🤟🏼,علامة أحبك لون بشرة متوسط فاتح
🤟🏽,علامة أحبك لون بشرة متوسط
🏩,أحب فندق
💌,رسالة حب
🤥,وجه الكذب
🧙,الساحر
🧙🏿,الساحر لون البشرة الداكن
🧙🏻,الساحرلون بشرة فاتح
🧙🏾,الساحر لون بشرة متوسط داكن
🧙🏼,الساحر لون بشرة متوسط فاتح
🧙🏽,الساحر لون بشرة متوسط
🔍,عدسة مكبرة اتجاه اليسار
🔎,عدسة مكبرة اتجاه اليمين
🀄,ما جونغ
♂,رمز ذكر
👨,رجل مبتسم
👫,زوجان
👨‍🎨,رسام
👨🏿‍🎨,رسام لون البشرة الداكن
👨🏻‍🎨,رسام لون بشرة فاتح
👨🏾‍🎨,رسام لون بشرة متوسط داكن
👨🏼‍🎨,رسام لون بشرة متوسط فاتح
👨🏽‍🎨,رسام لون بشرة متوسط
👨‍🚀,رائد فضاء
👨🏿‍🚀,رائد فضاء لون البشرة الداكن
👨🏻‍🚀,رائد فضاء لون بشرة فاتح
👨🏾‍🚀,رائد فضاء لون بشرة متوسط داكن
👨🏼‍🚀,رائد فضاء لون بشرة متوسط فاتح
👨🏽‍🚀,رائد فضاء لون بشرة متوسط
🚴‍♂️,راكب دراجة
🚴🏿‍♂️,راكب دراجة لون البشرة الداكن
🚴🏻‍♂️,راكب دراجة لون بشرة فاتح
🚴🏾‍♂️,راكب دراجة لون بشرة متوسط داكن
🚴🏼‍♂️,راكب دراجة لون بشرة متوسط فاتح
🚴🏽‍♂️,راكب دراجة لون بشرة متوسط
⛹️‍♂️,رجل وكرة
⛹🏿‍♂️,رجل وكرة لون البشرة الداكن
⛹🏻‍♂️,رجل وكرة لون بشرة فاتح
⛹🏾‍♂️,رجل وكرة لون بشرة متوسط داكن
⛹🏼‍♂️,رجل وكرة لون بشرة متوسط فاتح
⛹🏽‍♂️,رجل وكرة لون بشرة متوسط
🙇‍♂️,رجل ينحني اعتذارا
🙇🏿‍♂️,رجل ينحني اعتذارا لون البشرة الداكن
🙇🏻‍♂️,رجل ينحني اعتذارا لون بشرة فاتح
🙇🏾‍♂️,رجل ينحني اعتذارا لون بشرة متوسط داكن
🙇🏼‍♂️,رجل ينحني اعتذارا لون بشرة متوسط فاتح
🙇🏽‍♂️,رجل ينحني اعتذارا لون بشرة متوسط
🤸‍♂️,رجل يفعل حركة العجلة
🤸🏿‍♂️,رجل يفعل حركة العجلة لون البشرة الداكن
🤸🏻‍♂️,رجل يفعل حركة العجلة لون بشرة فاتح
🤸🏾‍♂️,رجل يفعل حركة العجلة لون بشرة متوسط داكن
🤸🏼‍♂️,رجل يفعل حركة العجلة لون بشرة متوسط فاتح
🤸🏽‍♂️,رجل يفعل حركة العجلة لون بشرة متوسط
🧗‍♂️,رجل يتسلق
🧗🏿‍♂️,رجل يتسلق لون البشرة الداكن
🧗🏻‍♂️,رجل يتسلق لون بشرة فاتح
🧗🏾‍♂️,رجل يتسلق لون بشرة متوسط داكن
🧗🏼‍♂️,رجل يتسلق لون بشرة متوسط فاتح
🧗🏽‍♂️,رجل يتسلق لون بشرة متوسط
👷‍♂️,عامل بناء
👷🏿‍♂️,عامل بناء لون البشرة الداكن
👷🏻‍♂️,عامل بناء لون بشرة فاتح
👷🏾‍♂️,عامل بناء لون بشرة متوسط داكن
👷🏼‍♂️,عامل بناء لون بشرة متوسط فاتح
👷🏽‍♂️,عامل بناء لون بشرة متوسط
👨‍🍳,طباخ 
👨🏿‍🍳,طباخ لون البشرة الداكن
👨🏻‍🍳,طباخ لون بشرة فاتح
👨🏾‍🍳,طباخ لون بشرة متوسط داكن
👨🏼‍🍳,طباخ لون بشرة متوسط فاتح
👨🏽‍🍳,طباخ لون بشرة متوسط
🕺,رجل يرقص
🕺🏿,رجل يرقص لون البشرة الداكن
🕺🏻,رجل يرقص لون بشرة فاتح
🕺🏾,رجل يرقص لون بشرة متوسط داكن
🕺🏼,رجل يرقص لون بشرة متوسط فاتح
🕺🏽,رجل يرقص لون بشرة متوسط
👨🏿,رجل لون البشرة الداكن
🕵️‍♂️,محقق
🕵🏿‍♂️,محقق لون البشرة الداكن
🕵🏻‍♂️,محقق لون بشرة فاتح
🕵🏾‍♂️,محقق لون بشرة متوسط داكن
🕵🏼‍♂️,محقق لون بشرة متوسط فاتح
🕵🏽‍♂️,محقق لون بشرة متوسط
🧝‍♂️,جنّي صغير ذكر
🧝🏿‍♂️,جنّي صغير ذكر لون البشرة الداكن
🧝🏻‍♂️,جنّي صغير ذكر لون بشرة فاتح
🧝🏾‍♂️,جنّي صغير ذكر لون بشرة متوسط داكن
🧝🏼‍♂️,جنّي صغير ذكر لون بشرة متوسط فاتح
🧝🏽‍♂️,جنّي صغير ذكر لون بشرة متوسط
🤦‍♂️,رجل يشعر بإحباط
🤦🏿‍♂️,رجل يشعر بإحباط لون البشرة الداكن
🤦🏻‍♂️,رجل يشعر بإحباط لون بشرة فاتح
🤦🏾‍♂️,رجل يشعر بإحباط لون بشرة متوسط داكن
🤦🏼‍♂️,رجل يشعر بإحباط لون بشرة متوسط فاتح
🤦🏽‍♂️,رجل يشعر بإحباط لون بشرة متوسط
👨‍🏭,عامل مصنع
👨🏿‍🏭,عامل مصنع لون البشرة الداكن
👨🏻‍🏭,عامل مصنع لون بشرة فاتح
👨🏾‍🏭,عامل مصنع لون بشرة متوسط داكن
👨🏼‍🏭,عامل مصنع لون بشرة متوسط فاتح
👨🏽‍🏭,عامل مصنع لون بشرة متوسط
🧚‍♂️,جني
🧚🏿‍♂️,جني لون البشرة الداكن
🧚🏻‍♂️,جني لون بشرة فاتح
🧚🏾‍♂️,جني لون بشرة متوسط داكن
🧚🏼‍♂️,جني لون بشرة متوسط فاتح
🧚🏽‍♂️,جني لون بشرة متوسط
👨‍🌾,مزارع
👨🏿‍🌾,مزارع لون البشرة الداكن
👨🏻‍🌾,مزارع لون بشرة فاتح
👨🏾‍🌾,مزارع لون بشرة متوسط داكن
👨🏼‍🌾,مزارع لون بشرة متوسط فاتح
👨🏽‍🌾,مزارع لون بشرة متوسط
👨‍🚒,رجل اطفاء 
👨🏿‍🚒,رجل اطفاء لون البشرة الداكن
👨🏻‍🚒,رجل اطفاء لون بشرة فاتح
👨🏾‍🚒,رجل اطفاء لون بشرة متوسط داكن
👨🏼‍🚒,رجل اطفاء لون بشرة متوسط فاتح
👨🏽‍🚒,رجل اطفاء لون بشرة متوسط
🙍‍♂️,رجل عبوس 
🙍🏿‍♂️,رجل عبوس لون البشرة الداكن
🙍🏻‍♂️,رجل عبوس لون بشرة فاتح
🙍🏾‍♂️,رجل عبوس لون بشرة متوسط داكن
🙍🏼‍♂️,رجل عبوس لون بشرة متوسط فاتح
🙍🏽‍♂️,رجل عبوس لون بشرة متوسط
🧞‍♂️,مارد
🙅‍♂️,رجل يشير بالرفض 
🙅🏿‍♂️,رجل يشير بالرفض لون البشرة الداكن
🙅🏻‍♂️,رجل يشير بالرفض لون بشرة فاتح
🙅🏾‍♂️,رجل يشير بالرفض لون بشرة متوسط داكن
🙅🏼‍♂️,رجل يشير بالرفض لون بشرة متوسط فاتح
🙅🏽‍♂️,رجل يشير بالرفض لون بشرة متوسط
🙆‍♂️,رجل يشير بالموافقة 
🙆🏿‍♂️,رجل يشير بالموافقة لون البشرة الداكن
🙆🏻‍♂️,رجل يشير بالموافقة لون بشرة فاتح
🙆🏾‍♂️,رجل يشير بالموافقة لون بشرة متوسط داكن
🙆🏼‍♂️,رجل يشير بالموافقة لون بشرة متوسط فاتح
🙆🏽‍♂️,رجل يشير بالموافقة لون بشرة متوسط
💇‍♂️,رجل يقص شعره 
💇🏿‍♂️,رجل يقص شعره لون البشرة الداكن
💇🏻‍♂️,رجل يقص شعره لون بشرة فاتح
💇🏾‍♂️,رجل يقص شعره لون بشرة متوسط داكن
💇🏼‍♂️,رجل يقص شعره لون بشرة متوسط فاتح
💇🏽‍♂️,رجل يقص شعره لون بشرة متوسط
💆‍♂️,رجل يحصل على التدليك 
💆🏿‍♂️,رجل يحصل على التدليك لون البشرة الداكن
💆🏻‍♂️,رجل يحصل على التدليك لون بشرة فاتح
💆🏾‍♂️,رجل يحصل على التدليك لون بشرة متوسط داكن
💆🏼‍♂️,رجل يحصل على التدليك لون بشرة متوسط فاتح
💆🏽‍♂️,رجل يحصل على التدليك لون بشرة متوسط
🏌️‍♂️,لاعب غولف 
🏌🏿‍♂️,لاعب غولف لون البشرة الداكن
🏌🏻‍♂️,لاعب غولف لون بشرة فاتح
🏌🏾‍♂️,لاعب غولف لون بشرة متوسط داكن
🏌🏼‍♂️,لاعب غولف لون بشرة متوسط فاتح
🏌🏽‍♂️,لاعب غولف لون بشرة متوسط
💂‍♂️,رجل حراسة 
💂🏿‍♂️,رجل حراسة لون البشرة الداكن
💂🏻‍♂️,رجل حراسة لون بشرة فاتح
💂🏾‍♂️,رجل حراسة لون بشرة متوسط داكن
💂🏼‍♂️,رجل حراسة لون بشرة متوسط فاتح
💂🏽‍♂️,رجل حراسة لون بشرة متوسط
👨‍⚕️,عامل صحي 
👨🏿‍⚕️,عامل صحي لون البشرة الداكن
👨🏻‍⚕️,عامل صحي لون بشرة فاتح
👨🏾‍⚕️,عامل صحي لون بشرة متوسط داكن
👨🏼‍⚕️,عامل صحي لون بشرة متوسط فاتح
👨🏽‍⚕️,عامل صحي لون بشرة متوسط
🧘‍♂️,رجل متربع 
🧘🏿‍♂️,رجل متربع لون البشرة الداكن
🧘🏻‍♂️,رجل متربع لون بشرة فاتح
🧘🏾‍♂️,رجل متربع لون بشرة متوسط داكن
🧘🏼‍♂️,رجل متربع لون بشرة متوسط فاتح
🧘🏽‍♂️,رجل متربع لون بشرة متوسط
🧖‍♂️,رجل يأخذ حمّام بخار 
🧖🏿‍♂️,رجل يأخذ حمّام بخار لون البشرة الداكن
🧖🏻‍♂️,رجل يأخذ حمّام بخار لون بشرة فاتح
🧖🏾‍♂️,رجل يأخذ حمّام بخار لون بشرة متوسط داكن
🧖🏼‍♂️,رجل يأخذ حمّام بخار لون بشرة متوسط فاتح
🧖🏽‍♂️,رجل يأخذ حمّام بخار لون بشرة متوسط
🕴,رجل اعمال 
🕴🏿,رجل اعمال لون البشرة الداكن
🕴🏻,رجل اعمال لون بشرة فاتح
🕴🏾,رجل اعمال لون بشرة متوسط داكن
🕴🏼,رجل اعمال لون بشرة متوسط فاتح
🕴🏽,رجل اعمال لون بشرة متوسط
🤵,رجل ببدلة رسمية 
🤵🏿,رجل ببدلة رسمية لون البشرة الداكن
🤵🏻,رجل ببدلة رسمية لون بشرة فاتح
🤵🏾,رجل ببدلة رسمية لون بشرة متوسط داكن
🤵🏼,رجل ببدلة رسمية لون بشرة متوسط فاتح
🤵🏽,رجل ببدلة رسمية لون بشرة متوسط
👨‍⚖️,قاضي 
👨🏿‍⚖️,قاضي لون البشرة الداكن
👨🏻‍⚖️,قاضي لون بشرة فاتح
👨🏾‍⚖️,قاضي لون بشرة متوسط داكن
👨🏼‍⚖️,قاضي لون بشرة متوسط فاتح
👨🏽‍⚖️,قاضي لون بشرة متوسط
🤹‍♂️,لاعب خفة ِ
🤹🏿‍♂️,لاعب خفة ِلون البشرة الداكن
🤹🏻‍♂️,لاعب خفة ِلون بشرة فاتح
🤹🏾‍♂️,لاعب خفة ِلون بشرة متوسط داكن
🤹🏼‍♂️,لاعب خفة ِلون بشرة متوسط فاتح
🤹🏽‍♂️,لاعب خفة ِلون بشرة متوسط
🏋️‍♂️,رجل يرفع الأثقال 
🏋🏿‍♂️,رجل يرفع الأثقال لون البشرة الداكن
🏋🏻‍♂️,رجل يرفع الأثقال لون بشرة فاتح
🏋🏾‍♂️,رجل يرفع الأثقال لون بشرة متوسط داكن
🏋🏼‍♂️,رجل يرفع الأثقال لون بشرة متوسط فاتح
🏋🏽‍♂️,رجل يرفع الأثقال لون بشرة متوسط
👨🏻,رجل مبتسم لون بشرة فاتح
🧙‍♂️,ساحر بلحية 
🧙🏿‍♂️,ساحر بلحية لون البشرة الداكن
🧙🏻‍♂️,ساحر بلحية لون بشرة فاتح
🧙🏾‍♂️,ساحر بلحية لون بشرة متوسط داكن
🧙🏼‍♂️,ساحر بلحية لون بشرة متوسط فاتح
🧙🏽‍♂️,ساحر بلحية لون بشرة متوسط
👨‍🔧,ميكانيكي 
👨🏿‍🔧,ميكانيكي لون البشرة الداكن
👨🏻‍🔧,ميكانيكي لون بشرة فاتح
👨🏾‍🔧,ميكانيكي لون بشرة متوسط داكن
👨🏼‍🔧,ميكانيكي لون بشرة متوسط فاتح
👨🏽‍🔧,ميكانيكي لون بشرة متوسط
👨🏾,رجل مبتسم لون بشرة متوسط داكن 
👨🏼,رجل مبتسم لون بشرة متوسط فاتح
👨🏽,رجل مبتسم لون بشرة متوسط
🚵‍♂️,متسلق جبال بدراجة 
🚵🏿‍♂️,متسلق جبال بدراجة لون البشرة الداكن
🚵🏻‍♂️,متسلق جبال بدراجة لون بشرة فاتح
🚵🏾‍♂️,متسلق جبال بدراجة لون بشرة متوسط داكن
🚵🏼‍♂️,متسلق جبال بدراجة لون بشرة متوسط فاتح
🚵🏽‍♂️,متسلق جبال بدراجة لون بشرة متوسط
👨‍💼,موظف في مكتب 
👨🏿‍💼,موظف في مكتب لون البشرة الداكن
👨🏻‍💼,موظف في مكتب لون بشرة فاتح
👨🏾‍💼,موظف في مكتب لون بشرة متوسط داكن
👨🏼‍💼,موظف في مكتب لون بشرة متوسط فاتح
👨🏽‍💼,موظف في مكتب لون بشرة متوسط
👨‍✈️,طيار 
👨🏿‍✈️,طيار لون البشرة الداكن
👨🏻‍✈️,طيار لون بشرة فاتح
👨🏾‍✈️,طيار لون بشرة متوسط داكن
👨🏼‍✈️,طيار لون بشرة متوسط فاتح
👨🏽‍✈️,طيار لون بشرة متوسط
🤾‍♂️,لاعب كرة يد 
🤾🏿‍♂️,لاعب كرة يد لون البشرة الداكن
🤾🏻‍♂️,لاعب كرة يد لون بشرة فاتح
🤾🏾‍♂️,لاعب كرة يد لون بشرة متوسط داكن
🤾🏼‍♂️,لاعب كرة يد لون بشرة متوسط فاتح
🤾🏽‍♂️,لاعب كرة يد لون بشرة متوسط
🤽‍♂️,لاعب كرة ماء 
🤽🏿‍♂️,لاعب كرة ماء لون البشرة الداكن
🤽🏻‍♂️,لاعب كرة ماء لون بشرة فاتح
🤽🏾‍♂️,لاعب كرة ماء لون بشرة متوسط داكن
🤽🏼‍♂️,لاعب كرة ماء لون بشرة متوسط فاتح
🤽🏽‍♂️,لاعب كرة ماء لون بشرة متوسط
👮‍♂️,شرطي 
👮🏿‍♂️,شرطي لون البشرة الداكن
👮🏻‍♂️,شرطي لون بشرة فاتح
👮🏾‍♂️,شرطي لون بشرة متوسط داكن
👮🏼‍♂️,شرطي لون بشرة متوسط فاتح
👮🏽‍♂️,شرطي لون بشرة متوسط
🙎‍♂️,رجل مستاء 
🙎🏿‍♂️,رجل مستاء لون البشرة الداكن
🙎🏻‍♂️,رجل مستاء لون بشرة فاتح
🙎🏾‍♂️,رجل مستاء لون بشرة متوسط داكن
🙎🏼‍♂️,رجل مستاء لون بشرة متوسط فاتح
🙎🏽‍♂️,رجل مستاء لون بشرة متوسط
🙋‍♂️,رجل يرفع يده 
🙋🏿‍♂️,رجل يرفع يده لون البشرة الداكن
🙋🏻‍♂️,رجل يرفع يده لون بشرة فاتح
🙋🏾‍♂️,رجل يرفع يده لون بشرة متوسط داكن
🙋🏼‍♂️,رجل يرفع يده لون بشرة متوسط فاتح
🙋🏽‍♂️,رجل يرفع يده لون بشرة متوسط
🚣‍♂️,رجل يجدف بقارب 
🚣🏿‍♂️,رجل يجدف بقارب لون البشرة الداكن
🚣🏻‍♂️,رجل يجدف بقارب لون بشرة فاتح
🚣🏾‍♂️,رجل يجدف بقارب لون بشرة متوسط داكن
🚣🏼‍♂️,رجل يجدف بقارب لون بشرة متوسط فاتح
🚣🏽‍♂️,رجل يجدف بقارب لون بشرة متوسط
🏃‍♂️,رجل يركض 
🏃🏿‍♂️,رجل يركض لون البشرة الداكن
🏃🏻‍♂️,رجل يركض لون بشرة فاتح
🏃🏾‍♂️,رجل يركض لون بشرة متوسط داكن
🏃🏼‍♂️,رجل يركض لون بشرة متوسط فاتح
🏃🏽‍♂️,رجل يركض لون بشرة متوسط
👨‍🔬,عالم 
👨🏿‍🔬,عالم لون البشرة الداكن
👨🏻‍🔬,عالم لون بشرة فاتح
👨🏾‍🔬,عالم لون بشرة متوسط داكن
👨🏼‍🔬,عالم لون بشرة متوسط فاتح
👨🏽‍🔬,عالم لون بشرة متوسط
🤷‍♂️,رجل لا يبالي 
🤷🏿‍♂️,رجل لا يبالي لون البشرة الداكن
🤷🏻‍♂️,رجل لا يبالي لون بشرة فاتح
🤷🏾‍♂️,رجل لا يبالي لون بشرة متوسط داكن
🤷🏼‍♂️,رجل لا يبالي لون بشرة متوسط فاتح
🤷🏽‍♂️,رجل لا يبالي لون بشرة متوسط
👨🏿‍🎤,مطرب لون البشرة الداكن
👨🏻‍🎤,مطرب لون بشرة فاتح
👨🏾‍🎤,مطرب لون بشرة متوسط داكن
👨🏼‍🎤,مطرب لون بشرة متوسط فاتح
👨🏽‍🎤,مطرب لون بشرة متوسط
👨‍🎓,طالب 
👨🏿‍🎓,طالب لون البشرة الداكن
👨🏻‍🎓,طالب لون بشرة فاتح
👨🏾‍🎓,طالب لون بشرة متوسط داكن
👨🏼‍🎓,طالب لون بشرة متوسط فاتح
👨🏽‍🎓,طالب لون بشرة متوسط
🏄‍♂️,راكب أمواج 
🏄🏿‍♂️,راكب أمواج لون البشرة الداكن
🏄🏻‍♂️,راكب أمواج لون بشرة فاتح
🏄🏾‍♂️,راكب أمواج لون بشرة متوسط داكن
🏄🏼‍♂️,راكب أمواج لون بشرة متوسط فاتح
🏄🏽‍♂️,راكب أمواج لون بشرة متوسط
🏊‍♂️,رجل يسبح 
🏊🏿‍♂️,رجل يسبح لون البشرة الداكن
🏊🏻‍♂️,رجل يسبح لون بشرة فاتح
🏊🏾‍♂️,رجل يسبح لون بشرة متوسط داكن
🏊🏼‍♂️,رجل يسبح لون بشرة متوسط فاتح
🏊🏽‍♂️,رجل يسبح لون بشرة متوسط
👨‍🏫,معلم 
👨🏿‍🏫,معلم لون البشرة الداكن
👨🏻‍🏫,معلم لون بشرة فاتح
👨🏾‍🏫,معلم لون بشرة متوسط داكن
👨🏼‍🏫,معلم لون بشرة متوسط فاتح
👨🏽‍🏫,معلم لون بشرة متوسط
👨‍💻,عالم تكنولوجيا 
👨🏿‍💻,عالم تكنولوجيا لون البشرة الداكن
👨🏻‍💻,عالم تكنولوجيا لون بشرة فاتح
👨🏾‍💻,عالم تكنولوجيا لون بشرة متوسط داكن
👨🏼‍💻,عالم تكنولوجيا لون بشرة متوسط فاتح
👨🏽‍💻,عالم تكنولوجيا لون بشرة متوسط
💁‍♂️,رجل بيد مائلة 
💁🏿‍♂️,رجل بيد مائلة لون البشرة الداكن
💁🏻‍♂️,رجل بيد مائلة لون بشرة فاتح
💁🏾‍♂️,رجل بيد مائلة لون بشرة متوسط داكن
💁🏼‍♂️,رجل بيد مائلة لون بشرة متوسط فاتح
💁🏽‍♂️,رجل بيد مائلة لون بشرة متوسط
🧛‍♂️,مصاص دماء 
🧛🏿‍♂️,مصاص دماء لون البشرة الداكن
🧛🏻‍♂️,مصاص دماء لون بشرة فاتح
🧛🏾‍♂️,مصاص دماء لون بشرة متوسط داكن
🧛🏼‍♂️,مصاص دماء لون بشرة متوسط فاتح
🧛🏽‍♂️,مصاص دماء لون بشرة متوسط
🚶‍♂️,رجل يمشي 
🚶🏿‍♂️,رجل يمشي لون البشرة الداكن
🚶🏻‍♂️,رجل يمشي لون بشرة فاتح
🚶🏾‍♂️,رجل يمشي لون بشرة متوسط داكن
🚶🏼‍♂️,رجل يمشي لون بشرة متوسط فاتح
🚶🏽‍♂️,رجل يمشي لون بشرة متوسط
👳‍♂️,رجل يرتدي عمامة 
👳🏿‍♂️,رجل يرتدي عمامة لون البشرة الداكن
👳🏻‍♂️,رجل يرتدي عمامة لون بشرة فاتح
👳🏾‍♂️,رجل يرتدي عمامة لون بشرة متوسط داكن
👳🏼‍♂️,رجل يرتدي عمامة لون بشرة متوسط فاتح
